,人数,公司名称,公司地址,公司性质,公司网址,公司行业,公司规模,发布日期,工作名称,工作地点,工作性质,应届生,拉勾网,最低学历,月工资,猎聘,福利,经验,网址,职位类别
3,10人,南京磐优信息科技有限公司 ,//www.platforu.com,民营,http://company.zhaopin.com/CC683856622.htm,计算机软件,20-99人,2018-01-11 09:51:45,C语言 C++ 嵌入式开发实习生,南京-秦淮区,实习,http://www.yingjiesheng.com/,https://www.lagou.com/,本科,4000-8000元/月,https://campus.liepin.com/,五险一金加班补助全勤奖包吃包住交通补助餐补弹性工作,不限,http://jobs.zhaopin.com/683856622250014.htm,软件研发工程师
6,2人,上海宝承自动化设备有限公司 ,null,民营,http://company.zhaopin.com/CC308645980.htm,加工制造（原料加工/模具）,100-499人,2017-12-28 08:10:00,嵌入式开发工程师,南京-栖霞区,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,本科,6001-8000元/月,https://campus.liepin.com/,五险一金年底双薪加班补助全勤奖包住带薪年假员工旅游,不限,http://jobs.zhaopin.com/308645980250158.htm,嵌入式软件开发
9,1人,南京万思迪威信息科技有限公司 ,南京市雨花台区软件大道180号大数据产业园区08栋501室,民营,http://special.zhaopin.com/pagepublish/53352412/index.html,IT服务(系统/数据/维护),20-99人,2018-01-11 18:38:25,软件开发 C++/C 嵌入式Linux,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,本科,5000-10000元/月,https://campus.liepin.com/,五险一金餐补通讯补贴带薪年假员工旅游高温补贴节日福利,1-3年,http://jobs.zhaopin.com/533524124250118.htm,C语言开发工程师
11,1人,北京华清远见科技发展有限公司南京分公司 ,南京市秦淮区汉中路185号A座11层,民营,http://company.zhaopin.com/CC436557585.htm,教育/培训/院校,100-499人,2018-01-04 10:24:15,嵌入式linux底层驱动开发,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,本科,8000-15000元/月,https://campus.liepin.com/,,不限,http://jobs.zhaopin.com/436557585250004.htm,嵌入式软件开发
18,1人,北京华清远见科技发展有限公司南京分公司 ,南京市秦淮区汉中路185号A座11层,民营,http://company.zhaopin.com/CC436557585.htm,教育/培训/院校,100-499人,2018-01-11 14:35:06,嵌入式Linux开发/驱动开发/培训讲师,南京,全职,http://www.yingjiesheng.com/,https://www.lagou.com/,本科,6000-10000元/月,https://campus.liepin.com/,五险一金餐补定期体检节日福利不加班,1-3年,http://jobs.zhaopin.com/436557585250024.htm,培训师/讲师
